INFO:root:[TURN 0] [WORKER u_1 at (14, 5)] [ACTION move] [VALUE 0.012798227816820147] at (15, 5) (rule_resource_value)
INFO:root:[TURN 17] [WORKER u_4 at (14, 11)] [ACTION move] [VALUE 0.006112798750400544] at (15, 9) (rule_resource_value)
INFO:root:[TURN 17] [WORKER u_3 at (14, 5)] [ACTION move] [VALUE 0.012798227816820147] at (15, 5) (rule_resource_value)
INFO:root:[TURN 17] [WORKER u_5 at (14, 11)] [ACTION move] [VALUE 0.005000000000000001] at (14, 11) (rule_resource_value)
INFO:root:[TURN 18] [WORKER u_1 at (15, 4)] [ACTION build] [VALUE 0.0665] at (14, 6) (rule_build)
INFO:root:[TURN 18] [WORKER u_4 at (14, 11)] [ACTION move] [VALUE 0.010862946510314943] at (15, 10) (rule_resource_value)
INFO:root:[TURN 18] [WORKER u_5 at (14, 11)] [ACTION move] [VALUE 0.006112798750400544] at (15, 9) (rule_resource_value)
INFO:root:[TURN 18] [WORKER u_3 at (14, 5)] [ACTION move] [VALUE 0.012798227816820147] at (15, 5) (rule_resource_value)
INFO:root:[TURN 19] [WORKER u_2 at (15, 10)] [ACTION build] [VALUE 0.05] at (13, 10) (rule_build)
INFO:root:[TURN 19] [WORKER u_1 at (15, 4)] [ACTION build] [VALUE 0.0665] at (14, 6) (rule_build)
INFO:root:[TURN 19] [WORKER u_3 at (14, 5)] [ACTION move] [VALUE 0.012798227816820147] at (15, 5) (rule_resource_value)
INFO:root:[TURN 19] [WORKER u_4 at (14, 10)] [ACTION move] [VALUE 0.012798227816820147] at (15, 10) (rule_resource_value)
INFO:root:[TURN 19] [WORKER u_5 at (14, 10)] [ACTION move] [VALUE 0.007241964340209961] at (15, 9) (rule_resource_value)
INFO:root:[TURN 20] [WORKER u_1 at (15, 4)] [ACTION build] [VALUE 0.0665] at (14, 6) (rule_build)
INFO:root:[TURN 20] [WORKER u_2 at (14, 10)] [ACTION move] [VALUE 0.012798227816820147] at (15, 10) (rule_resource_value)
INFO:root:[TURN 20] [WORKER u_3 at (14, 5)] [ACTION move] [VALUE 0.012798227816820147] at (15, 5) (rule_resource_value)
INFO:root:[TURN 20] [WORKER u_5 at (14, 9)] [ACTION move] [VALUE 0.008532151877880097] at (15, 9) (rule_resource_value)
INFO:root:[TURN 21] [WORKER u_1 at (15, 4)] [ACTION build] [VALUE 0.0665] at (14, 6) (rule_build)
INFO:root:[TURN 21] [WORKER u_2 at (14, 10)] [ACTION move] [VALUE 0.012798227816820147] at (15, 10) (rule_resource_value)
INFO:root:[TURN 21] [WORKER u_3 at (14, 5)] [ACTION move] [VALUE 0.012798227816820147] at (15, 5) (rule_resource_value)
INFO:root:[TURN 21] [WORKER u_4 at (15, 10)] [ACTION build] [VALUE 0.05] at (13, 10) (rule_build)
INFO:root:[TURN 22] [WORKER u_1 at (15, 4)] [ACTION build] [VALUE 0.0665] at (14, 6) (rule_build)
INFO:root:[TURN 22] [WORKER u_4 at (14, 10)] [ACTION move] [VALUE 0.012798227816820147] at (15, 10) (rule_resource_value)
INFO:root:[TURN 22] [WORKER u_3 at (14, 5)] [ACTION move] [VALUE 0.012798227816820147] at (15, 5) (rule_resource_value)
INFO:root:[TURN 22] [WORKER u_5 at (15, 9)] [ACTION move] [VALUE 0.010000000000000002] at (15, 9) (rule_resource_value)
INFO:root:[TURN 23] [WORKER u_2 at (15, 10)] [ACTION build] [VALUE 0.05] at (13, 10) (rule_build)
INFO:root:[TURN 23] [WORKER u_1 at (15, 4)] [ACTION build] [VALUE 0.0665] at (14, 6) (rule_build)
INFO:root:[TURN 23] [WORKER u_4 at (14, 10)] [ACTION move] [VALUE 0.012798227816820147] at (15, 10) (rule_resource_value)
INFO:root:[TURN 23] [WORKER u_3 at (14, 5)] [ACTION move] [VALUE 0.012798227816820147] at (15, 5) (rule_resource_value)
INFO:root:[TURN 24] [WORKER u_1 at (15, 4)] [ACTION build] [VALUE 0.0665] at (14, 6) (rule_build)
INFO:root:[TURN 24] [WORKER u_2 at (14, 10)] [ACTION move] [VALUE 0.012798227816820147] at (15, 10) (rule_resource_value)
INFO:root:[TURN 24] [WORKER u_3 at (14, 5)] [ACTION move] [VALUE 0.012798227816820147] at (15, 5) (rule_resource_value)
INFO:root:[TURN 24] [WORKER u_5 at (15, 8)] [ACTION build] [VALUE 0.05] at (14, 8) (rule_build)
INFO:root:[TURN 25] [WORKER u_1 at (15, 4)] [ACTION build] [VALUE 0.0665] at (14, 6) (rule_build)
INFO:root:[TURN 25] [WORKER u_2 at (14, 10)] [ACTION move] [VALUE 0.012798227816820147] at (15, 10) (rule_resource_value)
INFO:root:[TURN 25] [WORKER u_3 at (14, 5)] [ACTION move] [VALUE 0.012798227816820147] at (15, 5) (rule_resource_value)
INFO:root:[TURN 25] [WORKER u_4 at (15, 10)] [ACTION build] [VALUE 0.05] at (13, 10) (rule_build)
INFO:root:[TURN 26] [WORKER u_1 at (15, 4)] [ACTION build] [VALUE 0.0665] at (14, 6) (rule_build)
INFO:root:[TURN 26] [WORKER u_4 at (14, 10)] [ACTION move] [VALUE 0.012798227816820147] at (15, 10) (rule_resource_value)
INFO:root:[TURN 26] [WORKER u_5 at (14, 8)] [ACTION build] [VALUE 0.05] at (14, 8) (rule_build)
INFO:root:Worker is attempting to build.
INFO:root:[TURN 26] [WORKER u_3 at (14, 5)] [ACTION move] [VALUE 0.012798227816820147] at (15, 5) (rule_resource_value)
INFO:root:[TURN 27] [WORKER u_1 at (15, 4)] [ACTION build] [VALUE 0.0665] at (14, 6) (rule_build)
INFO:root:[TURN 27] [WORKER u_2 at (15, 10)] [ACTION build] [VALUE 0.0665] at (15, 8) (rule_build)
INFO:root:[TURN 27] [WORKER u_3 at (14, 5)] [ACTION move] [VALUE 0.012798227816820147] at (15, 5) (rule_resource_value)
INFO:root:[TURN 27] [WORKER u_4 at (14, 10)] [ACTION move] [VALUE 0.012798227816820147] at (15, 10) (rule_resource_value)
INFO:root:[TURN 27] [WORKER u_5 at (14, 8)] [ACTION move] [VALUE 0.0076936340332031256] at (15, 5) (rule_resource_value)
INFO:root:[TURN 28] [WORKER u_1 at (15, 4)] [ACTION build] [VALUE 0.0665] at (14, 6) (rule_build)
INFO:root:[TURN 28] [WORKER u_6 at (14, 9)] [ACTION move] [VALUE 0.010862946510314943] at (15, 10) (rule_resource_value)
INFO:root:[TURN 28] [WORKER u_3 at (14, 5)] [ACTION move] [VALUE 0.012798227816820147] at (15, 5) (rule_resource_value)
INFO:root:[TURN 29] [WORKER u_1 at (15, 4)] [ACTION build] [VALUE 0.0665] at (14, 6) (rule_build)
INFO:root:[TURN 29] [WORKER u_2 at (15, 9)] [ACTION build] [VALUE 0.0665] at (15, 8) (rule_build)
INFO:root:[TURN 29] [WORKER u_4 at (15, 10)] [ACTION build] [VALUE 0.05] at (13, 10) (rule_build)
INFO:root:[TURN 29] [WORKER u_3 at (14, 5)] [ACTION move] [VALUE 0.012798227816820147] at (15, 5) (rule_resource_value)
INFO:root:[TURN 29] [WORKER u_5 at (14, 7)] [ACTION move] [VALUE 0.009169198125600816] at (15, 5) (rule_resource_value)
INFO:root:[TURN 29] [WORKER u_6 at (14, 10)] [ACTION move] [VALUE 0.012798227816820147] at (15, 10) (rule_resource_value)
INFO:root:[TURN 30] [WORKER u_1 at (15, 4)] [ACTION build] [VALUE 0.0665] at (14, 6) (rule_build)
INFO:root:[TURN 30] [WORKER u_4 at (14, 10)] [ACTION move] [VALUE 0.012798227816820147] at (15, 10) (rule_resource_value)
INFO:root:[TURN 30] [WORKER u_3 at (14, 5)] [ACTION move] [VALUE 0.012798227816820147] at (15, 5) (rule_resource_value)
INFO:root:[TURN 31] [WORKER u_1 at (15, 4)] [ACTION move] [VALUE 0.012798227816820147] at (15, 5) (rule_resource_value)
INFO:root:[TURN 31] [WORKER u_2 at (15, 8)] [ACTION move] [VALUE 0.010862946510314943] at (15, 10) (rule_resource_value)
INFO:root:[TURN 31] [WORKER u_3 at (14, 5)] [ACTION move] [VALUE 0.007241964340209961] at (15, 4) (rule_resource_value)
INFO:root:[TURN 31] [WORKER u_4 at (14, 10)] [ACTION move] [VALUE 0.007241964340209961] at (15, 9) (rule_resource_value)
INFO:root:[TURN 31] [WORKER u_5 at (14, 6)] [ACTION move] [VALUE 0.010862946510314943] at (15, 5) (rule_resource_value)
INFO:root:[TURN 31] [WORKER u_6 at (15, 10)] [ACTION move] [VALUE 0.00474609375] at (7, 10) (rule_resource_value)
INFO:root:[TURN 32] [WORKER u_2 at (15, 8)] [ACTION move] [VALUE 0.010862946510314943] at (15, 10) (rule_resource_value)
INFO:root:[TURN 32] [WORKER u_1 at (15, 4)] [ACTION move] [VALUE 0.012798227816820147] at (15, 5) (rule_resource_value)
INFO:root:[TURN 32] [WORKER u_4 at (14, 9)] [ACTION move] [VALUE 0.008532151877880097] at (15, 9) (rule_resource_value)
INFO:root:[TURN 32] [WORKER u_3 at (14, 5)] [ACTION move] [VALUE 0.007241964340209961] at (15, 4) (rule_resource_value)
INFO:root:[TURN 32] [WORKER u_6 at (15, 10)] [ACTION move] [VALUE 0.006414461284875871] at (15, 5) (rule_resource_value)
INFO:root:[TURN 33] [WORKER u_2 at (15, 8)] [ACTION move] [VALUE 0.010862946510314943] at (15, 10) (rule_resource_value)
INFO:root:[TURN 33] [WORKER u_1 at (15, 4)] [ACTION move] [VALUE 0.012798227816820147] at (15, 5) (rule_resource_value)
INFO:root:[TURN 33] [WORKER u_4 at (14, 9)] [ACTION move] [VALUE 0.008532151877880097] at (15, 9) (rule_resource_value)
INFO:root:[TURN 33] [WORKER u_3 at (14, 5)] [ACTION move] [VALUE 0.007241964340209961] at (15, 4) (rule_resource_value)
INFO:root:[TURN 33] [WORKER u_6 at (15, 10)] [ACTION move] [VALUE 0.006414461284875871] at (15, 5) (rule_resource_value)
INFO:root:[TURN 34] [WORKER u_1 at (15, 4)] [ACTION move] [VALUE 0.012798227816820147] at (15, 5) (rule_resource_value)
INFO:root:[TURN 34] [WORKER u_2 at (15, 8)] [ACTION move] [VALUE 0.010862946510314943] at (15, 10) (rule_resource_value)
INFO:root:[TURN 34] [WORKER u_3 at (14, 5)] [ACTION move] [VALUE 0.007241964340209961] at (15, 4) (rule_resource_value)
INFO:root:[TURN 34] [WORKER u_4 at (14, 9)] [ACTION move] [VALUE 0.008532151877880097] at (15, 9) (rule_resource_value)
INFO:root:[TURN 34] [WORKER u_6 at (15, 10)] [ACTION move] [VALUE 0.006414461284875871] at (15, 5) (rule_resource_value)
INFO:root:[TURN 35] [WORKER u_2 at (15, 8)] [ACTION move] [VALUE 0.010862946510314943] at (15, 10) (rule_resource_value)
INFO:root:[TURN 35] [WORKER u_1 at (15, 4)] [ACTION move] [VALUE 0.012798227816820147] at (15, 5) (rule_resource_value)
INFO:root:[TURN 35] [WORKER u_3 at (14, 5)] [ACTION move] [VALUE 0.007241964340209961] at (15, 4) (rule_resource_value)
INFO:root:[TURN 35] [WORKER u_4 at (14, 9)] [ACTION move] [VALUE 0.008532151877880097] at (15, 9) (rule_resource_value)
INFO:root:[TURN 35] [WORKER u_5 at (15, 6)] [ACTION move] [VALUE 0.012798227816820147] at (15, 5) (rule_resource_value)
INFO:root:[TURN 35] [WORKER u_6 at (15, 10)] [ACTION move] [VALUE 0.00474609375] at (7, 10) (rule_resource_value)
INFO:root:[TURN 36] [WORKER u_1 at (15, 4)] [ACTION move] [VALUE 0.012798227816820147] at (15, 5) (rule_resource_value)
INFO:root:[TURN 36] [WORKER u_2 at (15, 8)] [ACTION move] [VALUE 0.010862946510314943] at (15, 10) (rule_resource_value)
INFO:root:[TURN 36] [WORKER u_4 at (14, 9)] [ACTION move] [VALUE 0.008532151877880097] at (15, 9) (rule_resource_value)
INFO:root:[TURN 36] [WORKER u_3 at (14, 5)] [ACTION move] [VALUE 0.007241964340209961] at (15, 4) (rule_resource_value)
INFO:root:[TURN 36] [WORKER u_5 at (15, 6)] [ACTION move] [VALUE 0.012798227816820147] at (15, 5) (rule_resource_value)
INFO:root:[TURN 36] [WORKER u_6 at (14, 10)] [ACTION move] [VALUE 0.005820766091346741] at (7, 10) (rule_resource_value)
INFO:root:[TURN 37] [WORKER u_1 at (15, 4)] [ACTION move] [VALUE 0.012798227816820147] at (15, 5) (rule_resource_value)
INFO:root:[TURN 37] [WORKER u_2 at (15, 8)] [ACTION move] [VALUE 0.010862946510314943] at (15, 10) (rule_resource_value)
INFO:root:[TURN 37] [WORKER u_3 at (14, 5)] [ACTION move] [VALUE 0.007241964340209961] at (15, 4) (rule_resource_value)
INFO:root:[TURN 37] [WORKER u_4 at (14, 9)] [ACTION move] [VALUE 0.008532151877880097] at (15, 9) (rule_resource_value)
INFO:root:[TURN 37] [WORKER u_5 at (15, 6)] [ACTION move] [VALUE 0.012798227816820147] at (15, 5) (rule_resource_value)
INFO:root:[TURN 38] [WORKER u_1 at (15, 4)] [ACTION move] [VALUE 0.012798227816820147] at (15, 5) (rule_resource_value)
INFO:root:[TURN 38] [WORKER u_2 at (15, 8)] [ACTION move] [VALUE 0.010862946510314943] at (15, 10) (rule_resource_value)
INFO:root:[TURN 38] [WORKER u_3 at (14, 5)] [ACTION move] [VALUE 0.007241964340209961] at (15, 4) (rule_resource_value)
INFO:root:[TURN 38] [WORKER u_4 at (14, 9)] [ACTION move] [VALUE 0.008532151877880097] at (15, 9) (rule_resource_value)
INFO:root:[TURN 38] [WORKER u_5 at (15, 6)] [ACTION move] [VALUE 0.012798227816820147] at (15, 5) (rule_resource_value)
INFO:root:[TURN 38] [WORKER u_7 at (14, 9)] [ACTION move] [VALUE 0.005000000000000001] at (14, 9) (rule_resource_value)
INFO:root:[TURN 39] [WORKER u_2 at (15, 8)] [ACTION move] [VALUE 0.010862946510314943] at (15, 10) (rule_resource_value)
INFO:root:[TURN 39] [WORKER u_1 at (15, 4)] [ACTION move] [VALUE 0.012798227816820147] at (15, 5) (rule_resource_value)
INFO:root:[TURN 39] [WORKER u_4 at (14, 9)] [ACTION move] [VALUE 0.008532151877880097] at (15, 9) (rule_resource_value)
INFO:root:[TURN 39] [WORKER u_3 at (14, 5)] [ACTION move] [VALUE 0.007241964340209961] at (15, 4) (rule_resource_value)
INFO:root:[TURN 39] [WORKER u_5 at (15, 6)] [ACTION move] [VALUE 0.012798227816820147] at (15, 5) (rule_resource_value)
INFO:root:[TURN 39] [WORKER u_7 at (14, 8)] [ACTION move] [VALUE 0.004276307523250581] at (15, 4) (rule_resource_value)
INFO:root:[TURN 40] [WORKER u_2 at (15, 8)] [ACTION move] [VALUE 0.010862946510314943] at (15, 10) (rule_resource_value)
INFO:root:[TURN 40] [WORKER u_1 at (15, 4)] [ACTION move] [VALUE 0.012798227816820147] at (15, 5) (rule_resource_value)
INFO:root:[TURN 40] [WORKER u_4 at (14, 9)] [ACTION move] [VALUE 0.008532151877880097] at (15, 9) (rule_resource_value)
INFO:root:[TURN 40] [WORKER u_3 at (14, 5)] [ACTION move] [VALUE 0.007241964340209961] at (15, 4) (rule_resource_value)
INFO:root:[TURN 40] [WORKER u_5 at (15, 6)] [ACTION move] [VALUE 0.012798227816820147] at (15, 5) (rule_resource_value)
INFO:root:[TURN 41] [WORKER u_2 at (15, 8)] [ACTION build] [VALUE 0.0665] at (15, 8) (rule_build)
INFO:root:Worker is attempting to build.
INFO:root:[TURN 41] [WORKER u_1 at (15, 4)] [ACTION build] [VALUE 0.0665] at (14, 6) (rule_build)
INFO:root:[TURN 41] [WORKER u_4 at (14, 9)] [ACTION move] [VALUE 0.010862946510314943] at (15, 10) (rule_resource_value)
INFO:root:[TURN 41] [WORKER u_3 at (14, 5)] [ACTION move] [VALUE 0.012798227816820147] at (15, 5) (rule_resource_value)
INFO:root:[TURN 41] [WORKER u_5 at (15, 6)] [ACTION build] [VALUE 0.05] at (14, 7) (rule_build)
INFO:root:[TURN 41] [WORKER u_8 at (14, 10)] [ACTION move] [VALUE 0.007241964340209961] at (15, 9) (rule_resource_value)
INFO:root:[TURN 42] [WORKER u_1 at (15, 4)] [ACTION build] [VALUE 0.0665] at (14, 6) (rule_build)
INFO:root:[TURN 42] [WORKER u_2 at (15, 8)] [ACTION move] [VALUE 0.010862946510314943] at (15, 10) (rule_resource_value)
INFO:root:[TURN 42] [WORKER u_3 at (14, 5)] [ACTION move] [VALUE 0.012798227816820147] at (15, 5) (rule_resource_value)
INFO:root:[TURN 43] [WORKER u_1 at (15, 4)] [ACTION build] [VALUE 0.0665] at (14, 6) (rule_build)
INFO:root:[TURN 43] [WORKER u_2 at (15, 8)] [ACTION move] [VALUE 0.010862946510314943] at (15, 10) (rule_resource_value)
INFO:root:[TURN 43] [WORKER u_3 at (14, 5)] [ACTION move] [VALUE 0.012798227816820147] at (15, 5) (rule_resource_value)
INFO:root:[TURN 43] [WORKER u_4 at (15, 9)] [ACTION move] [VALUE 0.010000000000000002] at (15, 9) (rule_resource_value)
INFO:root:[TURN 43] [WORKER u_5 at (14, 6)] [ACTION build] [VALUE 0.0665] at (15, 7) (rule_build)
INFO:root:[TURN 43] [WORKER u_8 at (15, 10)] [ACTION build] [VALUE 0.05] at (13, 10) (rule_build)
INFO:root:[TURN 43] [WORKER u_9 at (15, 8)] [ACTION move] [VALUE 0.009169198125600816] at (15, 5) (rule_resource_value)
INFO:root:[TURN 44] [WORKER u_1 at (15, 4)] [ACTION build] [VALUE 0.0665] at (14, 6) (rule_build)
INFO:root:[TURN 44] [WORKER u_4 at (14, 9)] [ACTION move] [VALUE 0.010862946510314943] at (15, 10) (rule_resource_value)
INFO:root:[TURN 44] [WORKER u_3 at (14, 5)] [ACTION move] [VALUE 0.012798227816820147] at (15, 5) (rule_resource_value)
INFO:root:[TURN 44] [WORKER u_8 at (14, 10)] [ACTION move] [VALUE 0.007241964340209961] at (15, 9) (rule_resource_value)
INFO:root:[TURN 45] [WORKER u_1 at (15, 4)] [ACTION build] [VALUE 0.0665] at (14, 6) (rule_build)
INFO:root:[TURN 45] [WORKER u_2 at (15, 9)] [ACTION move] [VALUE 0.012798227816820147] at (15, 10) (rule_resource_value)
INFO:root:[TURN 45] [WORKER u_3 at (14, 5)] [ACTION move] [VALUE 0.012798227816820147] at (15, 5) (rule_resource_value)
INFO:root:[TURN 45] [WORKER u_4 at (14, 9)] [ACTION move] [VALUE 0.008532151877880097] at (15, 9) (rule_resource_value)
INFO:root:[TURN 45] [WORKER u_5 at (15, 6)] [ACTION build] [VALUE 0.0665] at (15, 7) (rule_build)
INFO:root:[TURN 45] [WORKER u_9 at (15, 7)] [ACTION move] [VALUE 0.010862946510314943] at (15, 5) (rule_resource_value)
INFO:root:[TURN 46] [WORKER u_2 at (15, 9)] [ACTION move] [VALUE 0.008532151877880097] at (15, 10) (rule_resource_value)
INFO:root:[TURN 46] [WORKER u_1 at (15, 4)] [ACTION build] [VALUE 0.0665] at (14, 6) (rule_build)
INFO:root:[TURN 46] [WORKER u_4 at (14, 9)] [ACTION move] [VALUE 0.006414461284875871] at (15, 5) (rule_resource_value)
INFO:root:[TURN 46] [WORKER u_3 at (14, 5)] [ACTION move] [VALUE 0.012798227816820147] at (15, 5) (rule_resource_value)
INFO:root:[TURN 46] [WORKER u_8 at (15, 10)] [ACTION move] [VALUE 0.00474609375] at (7, 10) (rule_resource_value)
INFO:root:[TURN 47] [WORKER u_1 at (15, 4)] [ACTION build] [VALUE 0.0665] at (14, 6) (rule_build)
INFO:root:[TURN 47] [WORKER u_4 at (14, 8)] [ACTION move] [VALUE 0.0076936340332031256] at (15, 5) (rule_resource_value)
INFO:root:[TURN 47] [WORKER u_5 at (15, 7)] [ACTION build] [VALUE 0.1165] at (15, 9) (rule_build)
INFO:root:[TURN 47] [WORKER u_3 at (14, 5)] [ACTION move] [VALUE 0.012798227816820147] at (15, 5) (rule_resource_value)
INFO:root:[TURN 47] [WORKER u_8 at (14, 10)] [ACTION move] [VALUE 0.008532151877880097] at (15, 10) (rule_resource_value)
INFO:root:[TURN 47] [WORKER u_9 at (15, 6)] [ACTION build] [VALUE 0.0665] at (15, 7) (rule_build)
INFO:root:[TURN 48] [WORKER u_2 at (15, 10)] [ACTION build] [VALUE 0.1165] at (15, 9) (rule_build)
INFO:root:[TURN 48] [WORKER u_1 at (15, 4)] [ACTION build] [VALUE 0.0665] at (14, 6) (rule_build)
INFO:root:[TURN 48] [WORKER u_5 at (15, 8)] [ACTION move] [VALUE 0.009169198125600816] at (15, 5) (rule_resource_value)
INFO:root:[TURN 48] [WORKER u_3 at (14, 5)] [ACTION move] [VALUE 0.012798227816820147] at (15, 5) (rule_resource_value)
INFO:root:[TURN 48] [WORKER u_8 at (14, 10)] [ACTION move] [VALUE 0.008532151877880097] at (15, 10) (rule_resource_value)
INFO:root:[TURN 49] [WORKER u_1 at (15, 4)] [ACTION build] [VALUE 0.0665] at (14, 6) (rule_build)
INFO:root:[TURN 49] [WORKER u_4 at (14, 7)] [ACTION move] [VALUE 0.009169198125600816] at (15, 5) (rule_resource_value)
INFO:root:[TURN 49] [WORKER u_3 at (14, 5)] [ACTION move] [VALUE 0.012798227816820147] at (15, 5) (rule_resource_value)
INFO:root:[TURN 49] [WORKER u_5 at (15, 8)] [ACTION move] [VALUE 0.005129089355468751] at (15, 4) (rule_resource_value)
INFO:root:[TURN 49] [WORKER u_9 at (15, 7)] [ACTION build] [VALUE 0.1165] at (15, 9) (rule_build)
INFO:root:[TURN 50] [WORKER u_2 at (15, 9)] [ACTION build] [VALUE 0.1165] at (15, 9) (rule_build)
INFO:root:Worker is attempting to build.
INFO:root:[TURN 50] [WORKER u_1 at (15, 4)] [ACTION build] [VALUE 0.0665] at (14, 6) (rule_build)
INFO:root:[TURN 50] [WORKER u_5 at (14, 8)] [ACTION move] [VALUE 0.0076936340332031256] at (15, 5) (rule_resource_value)
INFO:root:[TURN 50] [WORKER u_3 at (14, 5)] [ACTION move] [VALUE 0.012798227816820147] at (15, 5) (rule_resource_value)
INFO:root:[TURN 50] [WORKER u_8 at (15, 10)] [ACTION move] [VALUE 0.010000000000000002] at (15, 10) (rule_resource_value)
INFO:root:[TURN 50] [WORKER u_9 at (15, 8)] [ACTION move] [VALUE 0.005129089355468751] at (15, 4) (rule_resource_value)
INFO:root:[TURN 51] [WORKER u_1 at (15, 4)] [ACTION build] [VALUE 0.08300000000000002] at (15, 5) (rule_build)
